seed:  666
save trained model at:  ../trained_models/trained_classifier_model_19.pt
save loss at:  ./results/train_classifier_results_19.json
how to merge clusters:  [[0, 9, 12, 25], [1, 5, 11, 22], 2, [3, 8, 13, 27], 4, 6, [7, 19, 21], [10, 16, 28], 15, 17, 18, [20, 23], 24, 26, 29]
features to use:  ['x', 'y', 'z', 'r', 'theta', 'phi', 'sasa', 'charge', 'hydrophobicity', 'binding_probability', 'sequence_entropy']
number of epochs:  200
batch size:  256
number of workers to load data:  36
device:  cuda
number of classes after merging:  15
number of pockets in training set:  17282
number of pockets in validation set:  3698
number of pockets in test set:  3720
first 5 pockets in train set of cluster 0 before merging (to verify reproducibility):
['4gi7C01', '6djqD00', '8icoC00', '1ofhB00', '2zceA00']
first 5 pockets in val set of cluster 0 before merging (to verify reproducibility):
['1w46A00', '4j97A00', '4iqlB01', '2wtkB00', '6o7zA00']
first 5 pockets in test set of cluster 0 before merging (to verify reproducibility):
['1tlzA00', '5t5iH01', '5t48A00', '4q5hA00', '5gjcA00']
model architecture:
MoNet(
  (embedding_net): JKEmbeddingNet(
    (conv0): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=11, out_features=96, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=96, out_features=96, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn0): BatchNorm1d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv1): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=96, out_features=96, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=96, out_features=96, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn1): BatchNorm1d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv2): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=96, out_features=96, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=96, out_features=96, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn2): BatchNorm1d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (set2set): Set2Set(96, 192)
  )
  (fc1): Linear(in_features=192, out_features=96, bias=True)
  (fc2): Linear(in_features=96, out_features=15, bias=True)
)
optimizer:
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.003
    weight_decay: 0.0005
)
learning rate scheduler: 
<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x2b3b60e7dbe0>
initial gamma of FocalLoss:  0
increase gamma of FocalLoss at epochs:  [25, 100, 170]
loss function:
FocalLoss(gamma=0, alpha=tensor([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.],
       device='cuda:0'), reduction=mean)
begin training...
epoch: 1, train loss: 2.0609258763865457, acc: 0.37026964471704665, val loss: 1.816398337443111, acc: 0.42239048134126556, test loss: 1.8214582617564867, acc: 0.4266129032258065
epoch: 2, train loss: 1.7807156670329445, acc: 0.4407475986575628, val loss: 1.6968514689759604, acc: 0.4645754461871282, test loss: 1.7054048527953445, acc: 0.46236559139784944
epoch: 3, train loss: 1.6743352148298616, acc: 0.47644948501330864, val loss: 1.7157112828714258, acc: 0.4656571119524067, test loss: 1.731555804898662, acc: 0.4575268817204301
epoch: 4, train loss: 1.6057085206064137, acc: 0.49820622613123483, val loss: 1.5571688320135155, acc: 0.5013520822065982, test loss: 1.5517423604124336, acc: 0.5045698924731182
epoch: 5, train loss: 1.538127684811174, acc: 0.5185163754195117, val loss: 1.5174972223165295, acc: 0.5151433207138995, test loss: 1.5069490114847819, acc: 0.5120967741935484
epoch: 6, train loss: 1.4990359416591281, acc: 0.5255757435482005, val loss: 1.7583941898841096, acc: 0.4637641968631693, test loss: 1.7351013916794973, acc: 0.46639784946236557
epoch: 7, train loss: 1.469851454158801, acc: 0.5370906145122092, val loss: 1.5197673814886, acc: 0.5167658193618172, test loss: 1.5041838861280872, acc: 0.5185483870967742
epoch: 8, train loss: 1.4186871782550519, acc: 0.5496470315935655, val loss: 1.589216653948671, acc: 0.5094645754461872, test loss: 1.586302806997812, acc: 0.510752688172043
epoch: 9, train loss: 1.399403144634235, acc: 0.5565906723758824, val loss: 1.3757590020005932, acc: 0.5578691184424013, test loss: 1.3683156690289897, acc: 0.553494623655914
epoch: 10, train loss: 1.351171906106713, acc: 0.572966091887513, val loss: 1.7081288700815533, acc: 0.4805300162249865, test loss: 1.690436977468511, acc: 0.4774193548387097
epoch: 11, train loss: 1.329747314958602, acc: 0.5826871889827566, val loss: 1.2816183912618666, acc: 0.5881557598702001, test loss: 1.3060996470912811, acc: 0.585752688172043
epoch: 12, train loss: 1.293380271021297, acc: 0.5931605138294179, val loss: 1.442349112568964, acc: 0.5373174689021093, test loss: 1.441383138779671, acc: 0.5473118279569893
epoch: 13, train loss: 1.2493720212588086, acc: 0.6101724337460942, val loss: 1.2896075123641992, acc: 0.588967009194159, test loss: 1.2829520322943246, acc: 0.5959677419354839
epoch: 14, train loss: 1.2068608230275835, acc: 0.6231917602129383, val loss: 1.3005322009695743, acc: 0.597079502433748, test loss: 1.2950067776505665, acc: 0.5932795698924731
epoch: 15, train loss: 1.1933504865064952, acc: 0.6296724916097673, val loss: 1.3758283939279048, acc: 0.5822065981611682, test loss: 1.3717258479005547, acc: 0.5766129032258065
epoch: 16, train loss: 1.1829374997707693, acc: 0.6311769471126027, val loss: 1.256734417089583, acc: 0.6032990805840995, test loss: 1.2588589278600548, acc: 0.6024193548387097
epoch: 17, train loss: 1.1685771610488247, acc: 0.6383520425876634, val loss: 1.2076314826344334, acc: 0.6173607355327204, test loss: 1.2049361044360745, acc: 0.6166666666666667
epoch: 18, train loss: 1.1381083852010612, acc: 0.6443698645990047, val loss: 1.48266115131863, acc: 0.5554353704705246, test loss: 1.471254075470791, acc: 0.5594086021505377
epoch: 19, train loss: 1.1166194259754805, acc: 0.6529915519037148, val loss: 1.1339260743978283, acc: 0.6457544618712818, test loss: 1.1247161183305967, acc: 0.6537634408602151
epoch: 20, train loss: 1.0866511851780227, acc: 0.6656058326582571, val loss: 1.1894767898169643, acc: 0.638182801514332, test loss: 1.174350231950001, acc: 0.6352150537634409
epoch: 21, train loss: 1.0803928337719633, acc: 0.6650850595995834, val loss: 1.1311849540733143, acc: 0.6295294753921038, test loss: 1.1432688564382574, acc: 0.635752688172043
