seed:  666
save trained model at:  ../trained_models/trained_classifier_model_20.pt
save loss at:  ./results/train_classifier_results_20.json
how to merge clusters:  [[0, 9, 12, 25], [1, 5, 11, 22], 2, [3, 8, 13, 27], 4, 6, [7, 19, 21], [10, 16, 28], 15, 17, 18, [20, 23], 24, 26, 29]
features to use:  ['x', 'y', 'z', 'r', 'theta', 'phi', 'sasa', 'charge', 'hydrophobicity', 'binding_probability', 'sequence_entropy']
number of epochs:  200
batch size:  256
number of workers to load data:  36
device:  cuda
number of classes after merging:  15
number of pockets in training set:  17282
number of pockets in validation set:  3698
number of pockets in test set:  3720
first 5 pockets in train set of cluster 0 before merging (to verify reproducibility):
['4gi7C01', '6djqD00', '8icoC00', '1ofhB00', '2zceA00']
first 5 pockets in val set of cluster 0 before merging (to verify reproducibility):
['1w46A00', '4j97A00', '4iqlB01', '2wtkB00', '6o7zA00']
first 5 pockets in test set of cluster 0 before merging (to verify reproducibility):
['1tlzA00', '5t5iH01', '5t48A00', '4q5hA00', '5gjcA00']
model architecture:
MoNet(
  (embedding_net): JKEmbeddingNet(
    (conv0): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=11, out_features=64, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=64, out_features=64, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn0): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv1): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=64, out_features=64, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=64, out_features=64, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv2): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=64, out_features=64, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=64, out_features=64, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn2): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (set2set): Set2Set(64, 128)
  )
  (fc1): Linear(in_features=128, out_features=64, bias=True)
  (fc2): Linear(in_features=64, out_features=15, bias=True)
)
optimizer:
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.003
    weight_decay: 0.0005
)
learning rate scheduler: 
<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x2ac8dae74be0>
initial gamma of FocalLoss:  0
increase gamma of FocalLoss at epochs:  [25, 100, 170]
loss function:
FocalLoss(gamma=0, alpha=tensor([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.],
       device='cuda:0'), reduction=mean)
begin training...
epoch: 1, train loss: 2.106782863225916, acc: 0.36251591251012616, val loss: 1.8479453774643564, acc: 0.42239048134126556, test loss: 1.8615152312863257, acc: 0.4163978494623656
epoch: 2, train loss: 1.830988784504632, acc: 0.4296377734058558, val loss: 1.742920971226215, acc: 0.44077879935100056, test loss: 1.7390345629825388, acc: 0.44247311827956987
epoch: 3, train loss: 1.7767247084238065, acc: 0.4456081472051846, val loss: 1.7250606602369094, acc: 0.4591671173607355, test loss: 1.7379791705839096, acc: 0.4599462365591398
epoch: 4, train loss: 1.7136473773378642, acc: 0.46221502140955906, val loss: 1.6668893928589725, acc: 0.47187669010275823, test loss: 1.6681350287570749, acc: 0.46881720430107526
epoch: 5, train loss: 1.66949802797821, acc: 0.4761023029741928, val loss: 1.6590257062339473, acc: 0.46592752839372636, test loss: 1.6704490353984218, acc: 0.4650537634408602
epoch: 6, train loss: 1.624591927908593, acc: 0.4905682212706863, val loss: 1.596489204078703, acc: 0.4943212547322877, test loss: 1.5847252440708939, acc: 0.4975806451612903
epoch: 7, train loss: 1.56970914477152, acc: 0.509026733017012, val loss: 1.6424574770754643, acc: 0.4872904272579773, test loss: 1.6095026923764137, acc: 0.49435483870967745
epoch: 8, train loss: 1.5194130256321954, acc: 0.5227404235620877, val loss: 1.6535897712697203, acc: 0.4905354245538129, test loss: 1.6731944940423453, acc: 0.48091397849462364
epoch: 9, train loss: 1.4899058798068294, acc: 0.5289897002661729, val loss: 1.509269952387214, acc: 0.5262303948080044, test loss: 1.4886859186234014, acc: 0.5188172043010753
epoch: 10, train loss: 1.4919068044899322, acc: 0.5307834741349381, val loss: 1.4575576276763702, acc: 0.5348837209302325, test loss: 1.4581947967570315, acc: 0.5252688172043011
epoch: 11, train loss: 1.4264814788690114, acc: 0.5458280291632913, val loss: 1.4811424123331816, acc: 0.53677663601947, test loss: 1.4771616740893292, acc: 0.5231182795698924
epoch: 12, train loss: 1.4154301879858753, acc: 0.5563592176831386, val loss: 1.40978855774685, acc: 0.5489453758788534, test loss: 1.3880236871780889, acc: 0.5526881720430108
epoch: 13, train loss: 1.3858119583615494, acc: 0.5648651776414767, val loss: 1.6421903947548586, acc: 0.49621416982152516, test loss: 1.61459792301219, acc: 0.5043010752688172
epoch: 14, train loss: 1.3625242664725425, acc: 0.5690313621108668, val loss: 1.4292939936811695, acc: 0.5351541373715522, test loss: 1.4162394990203202, acc: 0.5419354838709678
epoch: 15, train loss: 1.354676985696515, acc: 0.573139682907071, val loss: 1.3579720019520523, acc: 0.5608436992969172, test loss: 1.359536898007957, acc: 0.5489247311827957
epoch: 16, train loss: 1.3200019561586356, acc: 0.5823978706168268, val loss: 1.36434837661607, acc: 0.5621957815035155, test loss: 1.3460981574109805, acc: 0.5763440860215053
epoch: 17, train loss: 1.2880679227290173, acc: 0.5911931489410948, val loss: 1.3227941909953025, acc: 0.5746349378042185, test loss: 1.3299967242825417, acc: 0.5637096774193548
epoch: 18, train loss: 1.2792831579301522, acc: 0.5974424256451799, val loss: 1.3125572020199054, acc: 0.5803136830719308, test loss: 1.3253696062231577, acc: 0.5790322580645161
epoch: 19, train loss: 1.2634025674053342, acc: 0.5996991088994329, val loss: 1.3024679668018018, acc: 0.5811249323958897, test loss: 1.3020813101081439, acc: 0.5739247311827957
epoch: 20, train loss: 1.2518101207995604, acc: 0.6079157504918412, val loss: 1.261140771399581, acc: 0.6046511627906976, test loss: 1.2561734917343303, acc: 0.6021505376344086
epoch: 21, train loss: 1.235223658837291, acc: 0.6149172549473441, val loss: 1.2311936978587206, acc: 0.6068144943212548, test loss: 1.252722341783585, acc: 0.5924731182795699
