seed:  666
save trained model at:  ../trained_models/trained_classifier_model_22.pt
save loss at:  ./results/train_classifier_results_22.json
how to merge clusters:  [[0, 9, 12, 25], 2, [3, 8, 13, 27], 4, 6, [7, 19, 21], [10, 16, 28], 15, 17, 18, [20, 23], 24, 26, 29]
features to use:  ['x', 'y', 'z', 'r', 'theta', 'phi', 'sasa', 'charge', 'hydrophobicity', 'binding_probability', 'sequence_entropy']
number of epochs:  200
batch size:  256
number of workers to load data:  36
device:  cuda
number of classes after merging:  14
number of pockets in training set:  14780
number of pockets in validation set:  3162
number of pockets in test set:  3183
first 5 pockets in train set of cluster 0 before merging (to verify reproducibility):
['4gi7C01', '6djqD00', '8icoC00', '1ofhB00', '2zceA00']
first 5 pockets in val set of cluster 0 before merging (to verify reproducibility):
['1w46A00', '4j97A00', '4iqlB01', '2wtkB00', '6o7zA00']
first 5 pockets in test set of cluster 0 before merging (to verify reproducibility):
['1tlzA00', '5t5iH01', '5t48A00', '4q5hA00', '5gjcA00']
model architecture:
MoNet(
  (embedding_net): JKEmbeddingNet(
    (conv0): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=11, out_features=96, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=96, out_features=96, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn0): BatchNorm1d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv1): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=96, out_features=96, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=96, out_features=96, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn1): BatchNorm1d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv2): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=96, out_features=96, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=96, out_features=96, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn2): BatchNorm1d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (set2set): Set2Set(96, 192)
  )
  (fc1): Linear(in_features=192, out_features=96, bias=True)
  (fc2): Linear(in_features=96, out_features=14, bias=True)
)
optimizer:
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.003
    weight_decay: 0.0005
)
learning rate scheduler: 
<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x2ad2a5919970>
initial gamma of FocalLoss:  0
increase gamma of FocalLoss at epochs:  [25, 100, 170]
loss function:
FocalLoss(gamma=0, alpha=tensor([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.],
       device='cuda:0'), reduction=mean)
begin training...
epoch: 1, train loss: 1.9468772667831917, acc: 0.4141407307171854, val loss: 1.789108341815425, acc: 0.4405439595192916, test loss: 1.7747866830996586, acc: 0.44234998429154887
epoch: 2, train loss: 1.6965231290205567, acc: 0.47719891745602167, val loss: 1.617463882477656, acc: 0.49968374446552816, test loss: 1.617293927566907, acc: 0.49764373232799247
epoch: 3, train loss: 1.6351765955575264, acc: 0.49742895805142084, val loss: 1.553899630046509, acc: 0.5088551549652119, test loss: 1.5450126814684926, acc: 0.5086396481306943
epoch: 4, train loss: 1.5701588453233484, acc: 0.5203653585926928, val loss: 1.5339759222545781, acc: 0.5309930423782416, test loss: 1.537325506647765, acc: 0.5249764373232799
epoch: 5, train loss: 1.5085273085492228, acc: 0.5447902571041948, val loss: 1.4707091745886902, acc: 0.5373181530676787, test loss: 1.4629467710398518, acc: 0.5403707194470625
epoch: 6, train loss: 1.479846325585258, acc: 0.5552097428958052, val loss: 1.4114926916975374, acc: 0.5683111954459203, test loss: 1.4150191884425838, acc: 0.5636192271442035
epoch: 7, train loss: 1.4205362520617948, acc: 0.5728687415426251, val loss: 1.4210165157716232, acc: 0.5547122074636306, test loss: 1.4222547880628744, acc: 0.5620483820295319
epoch: 8, train loss: 1.3960199480934299, acc: 0.5819350473612991, val loss: 1.3723186864497012, acc: 0.5765338393421885, test loss: 1.3660201537245817, acc: 0.5761859880615772
epoch: 9, train loss: 1.3206472342972504, acc: 0.6004059539918809, val loss: 1.2637839698851825, acc: 0.6087919038583175, test loss: 1.2758428569563598, acc: 0.6041470311027333
epoch: 10, train loss: 1.2863902420410445, acc: 0.607916102841678, val loss: 1.311136699341129, acc: 0.5942441492726123, test loss: 1.3100059824172634, acc: 0.5912661011624254
epoch: 11, train loss: 1.2547675334390993, acc: 0.6182002706359946, val loss: 1.2417363149316005, acc: 0.6129032258064516, test loss: 1.2369628144329237, acc: 0.6173421300659755
epoch: 12, train loss: 1.2126266620478545, acc: 0.6287550744248985, val loss: 1.1751896852484842, acc: 0.633459835547122, test loss: 1.166918289575268, acc: 0.6311655670750864
epoch: 13, train loss: 1.1759634981619973, acc: 0.6428958051420839, val loss: 1.2820162105077735, acc: 0.5882352941176471, test loss: 1.2652064319530298, acc: 0.6016336789192586
epoch: 14, train loss: 1.1622579880109176, acc: 0.6455345060893098, val loss: 1.1754323231276644, acc: 0.6397849462365591, test loss: 1.1639892463222674, acc: 0.6405906377631165
epoch: 15, train loss: 1.1157848347185106, acc: 0.663531799729364, val loss: 1.1770792723757644, acc: 0.6337760910815939, test loss: 1.159160236873381, acc: 0.6346214263273641
epoch: 16, train loss: 1.0944928453320257, acc: 0.6666441136671177, val loss: 1.0888296206641392, acc: 0.6672991777356104, test loss: 1.0797427106570268, acc: 0.6641533144831919
epoch: 17, train loss: 1.069050073397821, acc: 0.6740189445196211, val loss: 1.1572405382623256, acc: 0.6369386464263125, test loss: 1.1662599983508954, acc: 0.6440464970153943
epoch: 18, train loss: 1.0442898788697341, acc: 0.6828146143437077, val loss: 1.0848739687058837, acc: 0.6628716002530044, test loss: 1.0763858050772726, acc: 0.6707508639648131
epoch: 19, train loss: 1.0363346386342958, acc: 0.6848443843031123, val loss: 1.0761774853013273, acc: 0.6669829222011385, test loss: 1.0911390293030254, acc: 0.663210807414389
epoch: 20, train loss: 1.0313161156335606, acc: 0.6900541271989175, val loss: 1.135888705443612, acc: 0.6407337128399747, test loss: 1.1606145008457482, acc: 0.6343072573044298
epoch: 21, train loss: 1.0097655103558294, acc: 0.6944519621109607, val loss: 1.022951475809376, acc: 0.6790006325110689, test loss: 1.0238335960285116, acc: 0.6889726672950047
