computing classification accuracies of ../trained_models/trained_model_7.pt
device:  cuda
batch size: 4
number of workers to load data:  4
number of classes: 60
number of pockets in training set:  22527
number of pockets in validation set:  4806
number of pockets in test set:  4890
cluster 0 accuracy: 0.08802992518703241.
cluster 1 accuracy: 0.13218970736629668.
cluster 2 accuracy: 0.41358024691358025.
cluster 3 accuracy: 0.2536136662286465.
cluster 4 accuracy: 0.3704206241519674.
cluster 5 accuracy: 0.06497175141242938.
cluster 6 accuracy: 0.40620384047267355.
cluster 7 accuracy: 0.04889589905362776.
cluster 8 accuracy: 0.03764320785597381.
cluster 9 accuracy: 0.0817717206132879.
cluster 10 accuracy: 0.019880715705765408.
cluster 11 accuracy: 0.052.
cluster 12 accuracy: 0.2415966386554622.
cluster 13 accuracy: 0.045064377682403435.
cluster 14 accuracy: 0.21478060046189376.
cluster 15 accuracy: 0.36342042755344417.
cluster 16 accuracy: 0.034739454094292806.
cluster 17 accuracy: 0.20199501246882792.
cluster 18 accuracy: 0.4671717171717172.
cluster 19 accuracy: 0.2506527415143603.
cluster 20 accuracy: 0.5662650602409639.
cluster 21 accuracy: 0.20655737704918034.
cluster 22 accuracy: 0.19205298013245034.
cluster 23 accuracy: 0.13898305084745763.
cluster 24 accuracy: 0.061855670103092786.
cluster 25 accuracy: 0.015209125475285171.
cluster 26 accuracy: 0.06130268199233716.
cluster 27 accuracy: 0.10384615384615385.
cluster 28 accuracy: 0.0546875.
cluster 29 accuracy: 0.3617021276595745.
cluster 30 accuracy: 0.060085836909871244.
cluster 31 accuracy: 0.8448275862068966.
cluster 32 accuracy: 0.6217391304347826.
cluster 33 accuracy: 0.9861111111111112.
cluster 34 accuracy: 0.225.
cluster 35 accuracy: 0.44387755102040816.
cluster 36 accuracy: 0.7395833333333334.
cluster 37 accuracy: 0.22282608695652173.
cluster 38 accuracy: 0.6573033707865169.
cluster 39 accuracy: 0.6779661016949152.
cluster 40 accuracy: 0.1.
cluster 41 accuracy: 0.10588235294117647.
cluster 42 accuracy: 0.21739130434782608.
cluster 43 accuracy: 0.4240506329113924.
cluster 44 accuracy: 0.6089743589743589.
cluster 45 accuracy: 0.7450980392156863.
cluster 46 accuracy: 1.0.
cluster 47 accuracy: 0.528169014084507.
cluster 48 accuracy: 0.11678832116788321.
cluster 49 accuracy: 0.6204379562043796.
cluster 50 accuracy: 0.03007518796992481.
cluster 51 accuracy: 0.5923076923076923.
cluster 52 accuracy: 0.1875.
cluster 53 accuracy: 0.2222222222222222.
cluster 54 accuracy: 0.832.
cluster 55 accuracy: 0.37398373983739835.
cluster 56 accuracy: 0.11382113821138211.
cluster 57 accuracy: 0.06504065040650407.
cluster 58 accuracy: 0.7073170731707317.
cluster 59 accuracy: 0.8898305084745762.
training accuracy:  0.23518444533226796
top-5 training accuracy:  0.5654991787632618
----------------------------------------------------------
cluster 0 accuracy: 0.10128055878928988.
cluster 1 accuracy: 0.12735849056603774.
cluster 2 accuracy: 0.34104046242774566.
cluster 3 accuracy: 0.22085889570552147.
cluster 4 accuracy: 0.3670886075949367.
cluster 5 accuracy: 0.052980132450331126.
cluster 6 accuracy: 0.36551724137931035.
cluster 7 accuracy: 0.08148148148148149.
cluster 8 accuracy: 0.030534351145038167.
cluster 9 accuracy: 0.088.
cluster 10 accuracy: 0.028037383177570093.
cluster 11 accuracy: 0.04672897196261682.
cluster 12 accuracy: 0.17647058823529413.
cluster 13 accuracy: 0.02.
cluster 14 accuracy: 0.09782608695652174.
cluster 15 accuracy: 0.2777777777777778.
cluster 16 accuracy: 0.03488372093023256.
cluster 17 accuracy: 0.1411764705882353.
cluster 18 accuracy: 0.4166666666666667.
cluster 19 accuracy: 0.23170731707317074.
cluster 20 accuracy: 0.6619718309859155.
cluster 21 accuracy: 0.13846153846153847.
cluster 22 accuracy: 0.125.
cluster 23 accuracy: 0.1111111111111111.
cluster 24 accuracy: 0.08064516129032258.
cluster 25 accuracy: 0.0.
cluster 26 accuracy: 0.03571428571428571.
cluster 27 accuracy: 0.10909090909090909.
cluster 28 accuracy: 0.07272727272727272.
cluster 29 accuracy: 0.22.
cluster 30 accuracy: 0.08.
cluster 31 accuracy: 0.7755102040816326.
cluster 32 accuracy: 0.673469387755102.
cluster 33 accuracy: 0.9565217391304348.
cluster 34 accuracy: 0.09302325581395349.
cluster 35 accuracy: 0.30952380952380953.
cluster 36 accuracy: 0.7073170731707317.
cluster 37 accuracy: 0.28205128205128205.
cluster 38 accuracy: 0.47368421052631576.
cluster 39 accuracy: 0.4473684210526316.
cluster 40 accuracy: 0.08333333333333333.
cluster 41 accuracy: 0.027777777777777776.
cluster 42 accuracy: 0.2647058823529412.
cluster 43 accuracy: 0.24242424242424243.
cluster 44 accuracy: 0.6060606060606061.
cluster 45 accuracy: 0.625.
cluster 46 accuracy: 0.967741935483871.
cluster 47 accuracy: 0.5333333333333333.
cluster 48 accuracy: 0.034482758620689655.
cluster 49 accuracy: 0.41379310344827586.
cluster 50 accuracy: 0.0.
cluster 51 accuracy: 0.48148148148148145.
cluster 52 accuracy: 0.037037037037037035.
cluster 53 accuracy: 0.1111111111111111.
cluster 54 accuracy: 0.8461538461538461.
cluster 55 accuracy: 0.23076923076923078.
cluster 56 accuracy: 0.038461538461538464.
cluster 57 accuracy: 0.038461538461538464.
cluster 58 accuracy: 0.6153846153846154.
cluster 59 accuracy: 0.92.
validation accuracy:  0.20828131502288805
top-5 validation accuracy:  0.5208073241781107
----------------------------------------------------------
cluster 0 accuracy: 0.06627906976744186.
cluster 1 accuracy: 0.13145539906103287.
cluster 2 accuracy: 0.3314285714285714.
cluster 3 accuracy: 0.2682926829268293.
cluster 4 accuracy: 0.39622641509433965.
cluster 5 accuracy: 0.026143790849673203.
cluster 6 accuracy: 0.4520547945205479.
cluster 7 accuracy: 0.043795620437956206.
cluster 8 accuracy: 0.007575757575757576.
cluster 9 accuracy: 0.11811023622047244.
cluster 10 accuracy: 0.045871559633027525.
cluster 11 accuracy: 0.046296296296296294.
cluster 12 accuracy: 0.21359223300970873.
cluster 13 accuracy: 0.019801980198019802.
cluster 14 accuracy: 0.1702127659574468.
cluster 15 accuracy: 0.2857142857142857.
cluster 16 accuracy: 0.0.
cluster 17 accuracy: 0.16091954022988506.
cluster 18 accuracy: 0.4418604651162791.
cluster 19 accuracy: 0.2891566265060241.
cluster 20 accuracy: 0.4861111111111111.
cluster 21 accuracy: 0.18181818181818182.
cluster 22 accuracy: 0.18181818181818182.
cluster 23 accuracy: 0.09375.
cluster 24 accuracy: 0.078125.
cluster 25 accuracy: 0.03508771929824561.
cluster 26 accuracy: 0.05263157894736842.
cluster 27 accuracy: 0.12280701754385964.
cluster 28 accuracy: 0.07142857142857142.
cluster 29 accuracy: 0.3076923076923077.
cluster 30 accuracy: 0.0392156862745098.
cluster 31 accuracy: 0.8431372549019608.
cluster 32 accuracy: 0.7058823529411765.
cluster 33 accuracy: 0.9787234042553191.
cluster 34 accuracy: 0.20454545454545456.
cluster 35 accuracy: 0.38095238095238093.
cluster 36 accuracy: 0.6428571428571429.
cluster 37 accuracy: 0.15.
cluster 38 accuracy: 0.5128205128205128.
cluster 39 accuracy: 0.5641025641025641.
cluster 40 accuracy: 0.05263157894736842.
cluster 41 accuracy: 0.02631578947368421.
cluster 42 accuracy: 0.25.
cluster 43 accuracy: 0.42857142857142855.
cluster 44 accuracy: 0.5882352941176471.
cluster 45 accuracy: 0.5882352941176471.
cluster 46 accuracy: 1.0.
cluster 47 accuracy: 0.46875.
cluster 48 accuracy: 0.16666666666666666.
cluster 49 accuracy: 0.36666666666666664.
cluster 50 accuracy: 0.0.
cluster 51 accuracy: 0.6206896551724138.
cluster 52 accuracy: 0.14285714285714285.
cluster 53 accuracy: 0.17857142857142858.
cluster 54 accuracy: 0.6785714285714286.
cluster 55 accuracy: 0.17857142857142858.
cluster 56 accuracy: 0.037037037037037035.
cluster 57 accuracy: 0.037037037037037035.
cluster 58 accuracy: 0.6296296296296297.
cluster 59 accuracy: 0.8518518518518519.
test accuracy:  0.21390593047034764
