seed:  666
save trained model at:  ../trained_models/trained_classifier_model_21.pt
save loss at:  ./results/train_classifier_results_21.json
how to merge clusters:  [[0, 9, 12, 25], [1, 5, 11, 22], 2, [3, 8, 13, 27], 4, 6, [7, 19, 21], [10, 16, 28], 15, 17, 18, [20, 23], 24, 26, 29]
features to use:  ['x', 'y', 'z', 'r', 'theta', 'phi', 'sasa', 'charge', 'hydrophobicity', 'binding_probability', 'sequence_entropy']
number of epochs:  200
batch size:  256
number of workers to load data:  36
device:  cuda
number of classes after merging:  15
number of pockets in training set:  17282
number of pockets in validation set:  3698
number of pockets in test set:  3720
first 5 pockets in train set of cluster 0 before merging (to verify reproducibility):
['4gi7C01', '6djqD00', '8icoC00', '1ofhB00', '2zceA00']
first 5 pockets in val set of cluster 0 before merging (to verify reproducibility):
['1w46A00', '4j97A00', '4iqlB01', '2wtkB00', '6o7zA00']
first 5 pockets in test set of cluster 0 before merging (to verify reproducibility):
['1tlzA00', '5t5iH01', '5t48A00', '4q5hA00', '5gjcA00']
model architecture:
MoNet(
  (embedding_net): JKEmbeddingNet(
    (conv0): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=11, out_features=96, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=96, out_features=96, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn0): BatchNorm1d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv1): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=96, out_features=96, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=96, out_features=96, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn1): BatchNorm1d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (conv2): GINMolecularConv(nn=Sequential(
      (0): Linear(in_features=96, out_features=96, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=96, out_features=96, bias=True)
    ))(edge_transformer=Sequential(
      (0): Linear(in_features=1, out_features=8, bias=True)
      (1): LeakyReLU(negative_slope=0.01)
      (2): Linear(in_features=8, out_features=1, bias=True)
      (3): ELU(alpha=1.0)
    ))
    (bn2): BatchNorm1d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (set2set): Set2Set(96, 192)
  )
  (fc1): Linear(in_features=192, out_features=96, bias=True)
  (fc2): Linear(in_features=96, out_features=15, bias=True)
)
optimizer:
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.003
    weight_decay: 0.001
)
learning rate scheduler: 
<torch.optim.lr_scheduler.ReduceLROnPlateau object at 0x2b10b5a71be0>
initial gamma of FocalLoss:  0
increase gamma of FocalLoss at epochs:  [25, 100, 170]
loss function:
FocalLoss(gamma=0, alpha=tensor([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.],
       device='cuda:0'), reduction=mean)
begin training...
epoch: 1, train loss: 2.0661281315958373, acc: 0.36511977780349497, val loss: 1.8387103881495523, acc: 0.41481882098431583, test loss: 1.855460407913372, acc: 0.42016129032258065
epoch: 2, train loss: 1.7680419462861983, acc: 0.4475755120935077, val loss: 1.6720894920045843, acc: 0.4853975121687399, test loss: 1.677007580828923, acc: 0.4801075268817204
epoch: 3, train loss: 1.6583726899986149, acc: 0.4812521698877445, val loss: 1.5975298578510935, acc: 0.508112493239589, test loss: 1.5963831963077668, acc: 0.5067204301075269
epoch: 4, train loss: 1.5659394079495768, acc: 0.513250781159588, val loss: 1.651324190275936, acc: 0.49459167117360736, test loss: 1.6656421763922578, acc: 0.4908602150537634
epoch: 5, train loss: 1.5043782388263107, acc: 0.5285267908806851, val loss: 1.6030634092988034, acc: 0.49621416982152516, test loss: 1.5959803986293013, acc: 0.5075268817204301
epoch: 6, train loss: 1.4898231464077403, acc: 0.5339659761601666, val loss: 1.4746698648495054, acc: 0.53677663601947, test loss: 1.4617746829986573, acc: 0.5443548387096774
epoch: 7, train loss: 1.4597840020259543, acc: 0.5429927091771786, val loss: 1.4185870632472846, acc: 0.544889129259059, test loss: 1.4343682847997195, acc: 0.5540322580645162
epoch: 8, train loss: 1.4157933231416007, acc: 0.5577479458396019, val loss: 1.4052264016018874, acc: 0.5511087074094105, test loss: 1.4103512343539986, acc: 0.5543010752688172
epoch: 9, train loss: 1.3782000548171025, acc: 0.5675269066080315, val loss: 1.3784891901434015, acc: 0.5600324499729583, test loss: 1.3952458063761393, acc: 0.553494623655914
epoch: 10, train loss: 1.3359117027979568, acc: 0.5803726420553177, val loss: 1.4402570188077737, acc: 0.5381287182260681, test loss: 1.4576370567403814, acc: 0.5293010752688172
epoch: 11, train loss: 1.31835481046099, acc: 0.5891100567063997, val loss: 1.333580436804541, acc: 0.5819361817198486, test loss: 1.3608432979993923, acc: 0.568010752688172
epoch: 12, train loss: 1.2955031285971876, acc: 0.5961694248350885, val loss: 1.3264074810393247, acc: 0.5827474310438074, test loss: 1.333814851699337, acc: 0.5801075268817204
epoch: 13, train loss: 1.2926687820547365, acc: 0.5979631987038537, val loss: 1.7522874999007643, acc: 0.46619794483504595, test loss: 1.7828859811188071, acc: 0.46478494623655914
epoch: 14, train loss: 1.264963135635421, acc: 0.6002777456312927, val loss: 1.236828463215516, acc: 0.6005949161709032, test loss: 1.238189628560056, acc: 0.6048387096774194
epoch: 15, train loss: 1.2474619771799353, acc: 0.6099988427265363, val loss: 1.588106465378344, acc: 0.5305570578691184, test loss: 1.64137238840903, acc: 0.5271505376344086
epoch: 16, train loss: 1.2444144731428237, acc: 0.6113297072098137, val loss: 1.4463314280244324, acc: 0.5427257977285019, test loss: 1.47074374844951, acc: 0.5379032258064517
epoch: 17, train loss: 1.247003974123777, acc: 0.6099409790533503, val loss: 1.3235824435643082, acc: 0.575716603569497, test loss: 1.3392019143668554, acc: 0.5733870967741935
epoch: 18, train loss: 1.2066900280804673, acc: 0.6206457585927555, val loss: 1.274832948341184, acc: 0.6003244997295836, test loss: 1.2895610650380454, acc: 0.5924731182795699
epoch: 19, train loss: 1.1994645680256595, acc: 0.6204721675731976, val loss: 1.3638390010598544, acc: 0.57355327203894, test loss: 1.3841162866161716, acc: 0.5723118279569892
epoch: 20, train loss: 1.1820197619990114, acc: 0.628225899780118, val loss: 1.2892000507573427, acc: 0.6003244997295836, test loss: 1.3041665533537505, acc: 0.592741935483871
epoch: 21, train loss: 1.1689482192007594, acc: 0.6345909038305751, val loss: 1.4016132621651665, acc: 0.5562466197944835, test loss: 1.398305332532493, acc: 0.5526881720430108
