computing classification accuracies of ../trained_models/trained_model_14.pt
device:  cuda
batch size: 4
number of workers to load data:  4
number of classes: 59
number of pockets in training set:  18517
number of pockets in validation set:  3947
number of pockets in test set:  4030
cluster 0 accuracy: 0.06962663975782038.
cluster 1 accuracy: 0.20493827160493827.
cluster 2 accuracy: 0.2233902759526938.
cluster 3 accuracy: 0.08683853459972862.
cluster 4 accuracy: 0.02401129943502825.
cluster 5 accuracy: 0.22895125553914328.
cluster 6 accuracy: 0.04416403785488959.
cluster 7 accuracy: 0.022913256955810146.
cluster 8 accuracy: 0.056218057921635436.
cluster 9 accuracy: 0.009940357852882704.
cluster 10 accuracy: 0.07.
cluster 11 accuracy: 0.16596638655462184.
cluster 12 accuracy: 0.04935622317596566.
cluster 13 accuracy: 0.13163972286374134.
cluster 14 accuracy: 0.43942992874109266.
cluster 15 accuracy: 0.02481389578163772.
cluster 16 accuracy: 0.18204488778054864.
cluster 17 accuracy: 0.351010101010101.
cluster 18 accuracy: 0.12532637075718014.
cluster 19 accuracy: 0.7349397590361446.
cluster 20 accuracy: 0.26229508196721313.
cluster 21 accuracy: 0.09602649006622517.
cluster 22 accuracy: 0.04067796610169491.
cluster 23 accuracy: 0.09621993127147767.
cluster 24 accuracy: 0.057034220532319393.
cluster 25 accuracy: 0.019157088122605363.
cluster 26 accuracy: 0.31153846153846154.
cluster 27 accuracy: 0.07421875.
cluster 28 accuracy: 0.23404255319148937.
cluster 29 accuracy: 0.05150214592274678.
cluster 30 accuracy: 0.6206896551724138.
cluster 31 accuracy: 0.7739130434782608.
cluster 32 accuracy: 0.9814814814814815.
cluster 33 accuracy: 0.385.
cluster 34 accuracy: 0.2755102040816326.
cluster 35 accuracy: 0.8958333333333334.
cluster 36 accuracy: 0.19021739130434784.
cluster 37 accuracy: 0.6966292134831461.
cluster 38 accuracy: 0.7966101694915254.
cluster 39 accuracy: 0.24705882352941178.
cluster 40 accuracy: 0.11764705882352941.
cluster 41 accuracy: 0.11180124223602485.
cluster 42 accuracy: 0.3227848101265823.
cluster 43 accuracy: 0.42948717948717946.
cluster 44 accuracy: 0.26143790849673204.
cluster 45 accuracy: 0.993103448275862.
cluster 46 accuracy: 0.6126760563380281.
cluster 47 accuracy: 0.058394160583941604.
cluster 48 accuracy: 0.35766423357664234.
cluster 49 accuracy: 0.19548872180451127.
cluster 50 accuracy: 0.7.
cluster 51 accuracy: 0.3515625.
cluster 52 accuracy: 0.35714285714285715.
cluster 53 accuracy: 0.784.
cluster 54 accuracy: 0.6585365853658537.
cluster 55 accuracy: 0.15447154471544716.
cluster 56 accuracy: 0.11382113821138211.
cluster 57 accuracy: 0.7398373983739838.
cluster 58 accuracy: 0.8559322033898306.
training accuracy:  0.22811470540584328
top-5 training accuracy:  0.5884862558729815
----------------------------------------------------------
cluster 0 accuracy: 0.0660377358490566.
cluster 1 accuracy: 0.18497109826589594.
cluster 2 accuracy: 0.18404907975460122.
cluster 3 accuracy: 0.04430379746835443.
cluster 4 accuracy: 0.026490066225165563.
cluster 5 accuracy: 0.2896551724137931.
cluster 6 accuracy: 0.044444444444444446.
cluster 7 accuracy: 0.04580152671755725.
cluster 8 accuracy: 0.064.
cluster 9 accuracy: 0.009345794392523364.
cluster 10 accuracy: 0.056074766355140186.
cluster 11 accuracy: 0.21568627450980393.
cluster 12 accuracy: 0.03.
cluster 13 accuracy: 0.11956521739130435.
cluster 14 accuracy: 0.4222222222222222.
cluster 15 accuracy: 0.0.
cluster 16 accuracy: 0.11764705882352941.
cluster 17 accuracy: 0.2857142857142857.
cluster 18 accuracy: 0.10975609756097561.
cluster 19 accuracy: 0.704225352112676.
cluster 20 accuracy: 0.16923076923076924.
cluster 21 accuracy: 0.046875.
cluster 22 accuracy: 0.031746031746031744.
cluster 23 accuracy: 0.12903225806451613.
cluster 24 accuracy: 0.03571428571428571.
cluster 25 accuracy: 0.017857142857142856.
cluster 26 accuracy: 0.2545454545454545.
cluster 27 accuracy: 0.07272727272727272.
cluster 28 accuracy: 0.24.
cluster 29 accuracy: 0.04.
cluster 30 accuracy: 0.6326530612244898.
cluster 31 accuracy: 0.7551020408163265.
cluster 32 accuracy: 0.8913043478260869.
cluster 33 accuracy: 0.46511627906976744.
cluster 34 accuracy: 0.19047619047619047.
cluster 35 accuracy: 0.926829268292683.
cluster 36 accuracy: 0.1282051282051282.
cluster 37 accuracy: 0.5.
cluster 38 accuracy: 0.5263157894736842.
cluster 39 accuracy: 0.19444444444444445.
cluster 40 accuracy: 0.08333333333333333.
cluster 41 accuracy: 0.08823529411764706.
cluster 42 accuracy: 0.3333333333333333.
cluster 43 accuracy: 0.30303030303030304.
cluster 44 accuracy: 0.21875.
cluster 45 accuracy: 0.9354838709677419.
cluster 46 accuracy: 0.4.
cluster 47 accuracy: 0.06896551724137931.
cluster 48 accuracy: 0.1724137931034483.
cluster 49 accuracy: 0.07142857142857142.
cluster 50 accuracy: 0.48148148148148145.
cluster 51 accuracy: 0.2222222222222222.
cluster 52 accuracy: 0.2962962962962963.
cluster 53 accuracy: 0.6538461538461539.
cluster 54 accuracy: 0.5.
cluster 55 accuracy: 0.07692307692307693.
cluster 56 accuracy: 0.038461538461538464.
cluster 57 accuracy: 0.8076923076923077.
cluster 58 accuracy: 0.92.
validation accuracy:  0.20167215606789968
top-5 validation accuracy:  0.5437040790473777
----------------------------------------------------------
cluster 0 accuracy: 0.04225352112676056.
cluster 1 accuracy: 0.2.
cluster 2 accuracy: 0.1951219512195122.
cluster 3 accuracy: 0.08176100628930817.
cluster 4 accuracy: 0.013071895424836602.
cluster 5 accuracy: 0.23972602739726026.
cluster 6 accuracy: 0.051094890510948905.
cluster 7 accuracy: 0.015151515151515152.
cluster 8 accuracy: 0.05511811023622047.
cluster 9 accuracy: 0.009174311926605505.
cluster 10 accuracy: 0.06481481481481481.
cluster 11 accuracy: 0.20388349514563106.
cluster 12 accuracy: 0.039603960396039604.
cluster 13 accuracy: 0.0851063829787234.
cluster 14 accuracy: 0.43956043956043955.
cluster 15 accuracy: 0.03409090909090909.
cluster 16 accuracy: 0.13793103448275862.
cluster 17 accuracy: 0.29069767441860467.
cluster 18 accuracy: 0.1686746987951807.
cluster 19 accuracy: 0.7222222222222222.
cluster 20 accuracy: 0.2727272727272727.
cluster 21 accuracy: 0.015151515151515152.
cluster 22 accuracy: 0.03125.
cluster 23 accuracy: 0.1875.
cluster 24 accuracy: 0.05263157894736842.
cluster 25 accuracy: 0.017543859649122806.
cluster 26 accuracy: 0.2631578947368421.
cluster 27 accuracy: 0.05357142857142857.
cluster 28 accuracy: 0.23076923076923078.
cluster 29 accuracy: 0.058823529411764705.
cluster 30 accuracy: 0.5882352941176471.
cluster 31 accuracy: 0.7843137254901961.
cluster 32 accuracy: 0.8936170212765957.
cluster 33 accuracy: 0.38636363636363635.
cluster 34 accuracy: 0.2857142857142857.
cluster 35 accuracy: 0.8809523809523809.
cluster 36 accuracy: 0.075.
cluster 37 accuracy: 0.5128205128205128.
cluster 38 accuracy: 0.717948717948718.
cluster 39 accuracy: 0.18421052631578946.
cluster 40 accuracy: 0.10526315789473684.
cluster 41 accuracy: 0.05555555555555555.
cluster 42 accuracy: 0.34285714285714286.
cluster 43 accuracy: 0.4117647058823529.
cluster 44 accuracy: 0.29411764705882354.
cluster 45 accuracy: 1.0.
cluster 46 accuracy: 0.5.
cluster 47 accuracy: 0.1.
cluster 48 accuracy: 0.23333333333333334.
cluster 49 accuracy: 0.13793103448275862.
cluster 50 accuracy: 0.5517241379310345.
cluster 51 accuracy: 0.35714285714285715.
cluster 52 accuracy: 0.39285714285714285.
cluster 53 accuracy: 0.7857142857142857.
cluster 54 accuracy: 0.5357142857142857.
cluster 55 accuracy: 0.07407407407407407.
cluster 56 accuracy: 0.14814814814814814.
cluster 57 accuracy: 0.8148148148148148.
cluster 58 accuracy: 0.8888888888888888.
test accuracy:  0.21464019851116625
top-5 test accuracy:  0.5476426799007444
----------------------------------------------------------
